Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,19.400000,19.750000,19.400000,19.680000,19.603485,83100
2019-01-29,19.690001,19.840000,19.559999,19.709999,19.633366,82800
2019-01-30,19.820000,19.850000,19.500000,19.610001,19.533756,137800
2019-01-31,19.540001,19.660000,19.290001,19.450001,19.374378,95000
2019-02-01,19.610001,19.760000,19.320000,19.709999,19.633366,74800
2019-02-04,19.600000,19.840000,19.600000,19.740000,19.663250,83800
2019-02-05,19.730000,19.879999,19.629999,19.750000,19.673212,55600
2019-02-06,19.770000,19.790001,19.330000,19.410000,19.334534,76400
2019-02-07,19.340000,19.480000,18.889999,19.290001,19.215002,94500
2019-02-08,19.150000,19.150000,18.549999,18.740000,18.740000,79400
2019-02-11,18.700001,19.180000,18.549999,18.920000,18.920000,164600
2019-02-12,18.900000,19.440001,18.850000,19.379999,19.379999,126800
2019-02-13,19.549999,19.670000,19.350000,19.410000,19.410000,45800
2019-02-14,19.299999,19.500000,19.090000,19.129999,19.129999,89700
2019-02-15,19.200001,19.639999,19.180000,19.590000,19.590000,146000
2019-02-19,19.500000,19.600000,19.100000,19.549999,19.549999,138100
2019-02-20,19.660000,20.059999,19.520000,19.920000,19.920000,133400
2019-02-21,19.740000,20.790001,19.530001,20.190001,20.190001,167000
2019-02-22,20.389999,21.080000,20.379999,21.000000,21.000000,434100
2019-02-25,21.100000,21.340000,20.940001,21.170000,21.170000,145900
2019-02-26,21.170000,21.540001,21.040001,21.160000,21.160000,158600
2019-02-27,21.139999,21.290001,20.799999,20.980000,20.980000,77400
